time (s),U,V,W
109.40625,-5.55,2.09,0.34
109.4375,-5.45,2.54,-0.36
109.46875,-4.87,2.59,-0.39
109.5,-4.84,2.38,-0.32
109.53125,-5.63,3.36,-0.05
109.5625,-4.65,3.52,-0.12
109.59375,-4.58,3.22,-0.38
109.625,-4.48,3.92,-0.53
109.65625,-3.91,3.47,0.21
109.6875,-3.73,4.73,0.04
109.71875,-2.79,4.24,-0.18
109.75,-2.46,4.97,-0.27
109.78125,-2.68,4.88,0.22
109.8125,-2,4.92,0.14
109.84375,-1.58,5.63,0.34
109.875,-1.37,5.91,0.09
109.90625,-1.25,5.56,0.45
109.9375,-0.88,5.86,0.17
109.96875,-0.47,5.57,0.33
110,0.19,5.51,0.34
110.03125,0.3,6.35,0.41
110.0625,0.46,5.97,0.58
110.09375,0.79,5.67,0.34
110.125,1.03,6.06,-0.01
110.15625,0.98,6.15,0.17
110.1875,1.31,6.15,0.47
110.21875,0.99,6.1,0.06
110.25,0.82,6.11,0.01
110.28125,0.71,5.57,0.51
110.3125,0.31,5.91,0.33
110.34375,0.3,5.82,0.3
110.375,-0.38,5.59,0.3
110.40625,-0.8,6.35,0.4
110.4375,-0.7,5.85,-0.12
110.46875,-1.03,5.89,-0.03
110.5,-1.43,5.95,0.43
110.53125,-1.61,5.44,0.53
110.5625,-2.13,5.64,0.12
110.59375,-2.77,4.39,0.48
110.625,-3.96,4.68,-0.01
110.65625,-4.39,3.93,0.13
110.6875,-5.03,3.42,0.08
110.71875,-5.1,2.93,0.33
110.75,-5.64,2.55,0.39
110.78125,-5.57,1.94,0.27
110.8125,-5.34,2.6,0.31
110.84375,-5.56,1.95,0.13
110.875,-4.97,1.87,0.38
110.90625,-4.99,1.64,0.3
110.9375,-5.73,1.83,-0.04
110.96875,-5.63,1.24,0.05
111,-5.91,0.62,0.57
111.03125,-6.17,1.2,0.6
111.0625,-5.96,0.08,0.39
111.09375,-5.89,0.17,0.4
111.125,-6.32,-0.35,0.37
111.15625,-5.6,-0.57,0.82
111.1875,-6,-0.99,0.82
111.21875,-6.01,-1.58,0.45
111.25,-6.23,-1.65,0.62
111.28125,-6.11,-2.5,0.65
111.3125,-5.11,-2.15,0.53
111.34375,-4.73,-3.2,0.4
111.375,-5.27,-3.45,0.67
111.40625,-4.9,-4.13,0.51
111.4375,-4.49,-4.2,0.32
111.46875,-5.25,-3.95,0.4
111.5,-4.83,-3.89,-0.02
111.53125,-4.81,-3.67,0.45
111.5625,-4.57,-3.36,0.07
111.59375,-5.31,-3.45,0.29
111.625,-5.11,-3.07,0.63
111.65625,-5.42,-3.11,0.42
111.6875,-5.95,-2.32,0.14
111.71875,-5.61,-1.96,-0.2
111.75,-5.59,-1.33,0.69
111.78125,-6.31,-1.07,-0.14
111.8125,-6.4,-0.6,0.07
111.84375,-6.21,0.18,-0.09
111.875,-6.17,0.48,0.2
111.90625,-7.4,0.54,-0.23
111.9375,-6.84,0.53,0.31
111.96875,-7.17,0.71,0.1
112,-6.13,0.91,-0.1
112.03125,-6.65,0.7,-0.3
112.0625,-6.4,0.72,0.17
112.09375,-6.65,1.26,0.21
112.125,-6.1,1.79,0.36
112.15625,-6.21,2.14,0.57
112.1875,-6.14,1.56,0.2
112.21875,-6.63,2.49,0.4
112.25,-5.54,3.02,-0.26
112.28125,-5.88,3.1,0.05
112.3125,-6.25,2.87,0.41
112.34375,-6.14,3.04,0.12
112.375,-6.53,2.86,-0.14
112.40625,-5.77,3.17,-0.06
112.4375,-6.04,3.09,0.34
112.46875,-5.93,3.95,0.39
112.5,-5.64,3.83,0.41
112.53125,-5.65,3.63,0.37
112.5625,-5.65,3.64,0.26
112.59375,-5.47,3.62,0.7
112.625,-5.5,4.14,0.71
112.65625,-5.57,4.36,0.11
112.6875,-4.41,5.2,0.45
112.71875,-4.9,4.7,0.13
112.75,-4.68,4.99,0.33
112.78125,-4.5,5.27,0.34
112.8125,-4.66,5.56,0.17
112.84375,-3.92,5.08,0.03
112.875,-4.57,5.69,0.05
112.90625,-4.27,5.43,0.41
112.9375,-4.04,5.46,0.02
112.96875,-5.16,5.23,0.52
113,-4.77,4.86,0.1
113.03125,-5.87,3.98,0.58
113.0625,-5.87,3.69,0.05
113.09375,-5.82,2.97,0.1
113.125,-6.09,2.99,0.47
113.15625,-6.46,2.78,0.39
113.1875,-6.6,2.52,-0.03
113.21875,-6.5,1.84,-0.01
113.25,-6.91,1.81,0.52
113.28125,-6.55,1.51,-0.12
113.3125,-6.96,1.87,0.01
113.34375,-7.17,1.69,-0.12
113.375,-7.27,1.45,0.36
113.40625,-6.52,0.34,0.4
113.4375,-7.21,0.31,0.37
113.46875,-6.76,0.07,0.07
113.5,-6.9,0.51,0.09
113.53125,-7.22,-0.22,0.42
113.5625,-6.93,-0.27,0.17
113.59375,-7.66,0.63,0.17
113.625,-6.65,0.36,0.14
113.65625,-7.19,0.85,0.36
113.6875,-6.73,0.05,0.47
113.71875,-6.89,1.66,0.3
113.75,-7.06,1.86,0.17
113.78125,-6.64,1.67,0.4
113.8125,-6.59,1.97,0.21
113.84375,-6.39,2.3,0.6
113.875,-6.67,2.05,0.23
113.90625,-6.24,2.04,0.24
113.9375,-6.43,2.17,-0.18
113.96875,-6.94,1.79,0.07
114,-6.92,1.5,0.21
114.03125,-6.96,0.15,-0.19
114.0625,-6.55,0.67,-0.21
114.09375,-6.72,0.2,0.27
114.125,-7.39,-0.13,0.32
114.15625,-7.39,-0.69,0.04
114.1875,-7.22,-0.26,0.1
114.21875,-6.78,-0.29,-0.03
114.25,-7.3,-0.22,0.1
114.28125,-6.83,-0.01,0.17
114.3125,-6.49,-0.03,0.09
114.34375,-6.73,0.28,0.43
114.375,-6.53,0.43,0.08
114.40625,-7.13,-0.01,0.12
114.4375,-7.07,0.03,0.35
114.46875,-7.44,0.53,0.18
114.5,-7.37,1.1,0.24
114.53125,-6.99,1.06,0.17
114.5625,-7.56,1.67,0.41
114.59375,-7.22,1.23,0.04
114.625,-7.14,1.3,0.13
114.65625,-7.09,1.26,0.28
114.6875,-6.85,1.98,0.14
114.71875,-8.07,1.61,0.37
114.75,-7.83,1.45,0.26
114.78125,-7.54,1.35,0.46
114.8125,-7.13,1.51,0.08
114.84375,-6.96,1.86,0.13
114.875,-7.33,1.97,0.16
114.90625,-7.12,1.9,0.73
114.9375,-7.99,2.19,0.2
114.96875,-7.76,2.21,0.49
115,-7.66,2.16,0.52
115.03125,-8.67,2.31,0.53
115.0625,-8.09,2.24,0.48
115.09375,-9.05,2.29,0.48
115.125,-8.1,2.1,0.6
115.15625,-8.14,2.46,0.13
115.1875,-9.38,1.96,0.05
115.21875,-9.15,2.58,0.72
115.25,-8.28,2.53,0.09
115.28125,-9.28,1.43,0.18
115.3125,-9.27,2.34,0.1
115.34375,-9.1,2.14,0.56
115.375,-9.01,2.4,0.39
115.40625,-9.36,2.08,0.5
115.4375,-8.99,3.66,0.09
115.46875,-9.73,2.64,0.66
115.5,-10.58,3.06,0.4
115.53125,-9.65,3.3,0.13
115.5625,-10,3.24,0.49
115.59375,-10.33,3.46,0.75
115.625,-10.6,2.65,0.5
115.65625,-10.8,3.19,0.34
115.6875,-10.55,2.46,0.39
115.71875,-11.04,3.46,0.51
115.75,-11.16,2.95,0.31
115.78125,-10.34,3.24,0.67
115.8125,-11.27,3.19,0.38
115.84375,-11.15,2.95,0.17
115.875,-12.22,2.97,0.79
115.90625,-11.82,3.31,0.4
115.9375,-12.07,3.2,0.5
115.96875,-11.3,3.57,0.38
116,-11.67,2.7,0.53
116.03125,-12.2,2.99,0.66
116.0625,-12.28,2.23,0.46
116.09375,-11.75,3.38,0.57
116.125,-12.67,2.87,0.68
116.15625,-11.22,2.46,0.63
116.1875,-12.78,2.87,0.32
116.21875,-12.89,2.97,0.27
116.25,-12.33,2.9,1
116.28125,-12.08,2.95,0.48
116.3125,-12.5,2.23,0.4
116.34375,-12.85,2.76,0.02
116.375,-12.83,2.02,-0.3
116.40625,-12.49,2.9,0.23
116.4375,-11.79,2.62,0.13
116.46875,-13.08,0.87,-0.82
116.5,-13.81,2.33,-0.2
116.53125,-12.74,1.64,-0.13
116.5625,-12.37,2.32,-0.95
116.59375,-13.03,2.17,-0.61
116.625,,,
116.65625,-12.39,1.92,0.08
116.6875,-12.29,1.89,-0.36
116.71875,-12.78,1.56,-0.17
116.75,-13,1.62,-0.5
116.78125,-13.09,2.1,-0.04
116.8125,-12.9,2.43,0.13
116.84375,-13.96,0.19,-0.1
116.875,,,
116.90625,-14.11,1.23,-0.05
116.9375,-13.19,1.11,0.45
116.96875,-13.2,0.86,0.12
117,-13.07,0.97,-0.7
117.03125,-13.31,0.42,-0.25
117.0625,-13.64,1.01,-0.08
117.09375,,,
117.125,-13.66,1.36,0.25
117.15625,-12.89,-0.44,-0.1
117.1875,-13.62,0.27,0.43
117.21875,-13.9,0.21,0.77
117.25,,,
117.28125,-13.5,1.69,-0.26
117.3125,-13.98,1.25,-0.1
117.34375,-13.44,0.48,0.67
117.375,-12.13,0.41,0.78
117.40625,-13.6,0.6,-0.29
117.4375,-14.16,1.22,0.04
117.46875,-14.02,1.25,0.65
117.5,-13.94,1.45,-0.41
117.53125,-12.76,1.77,-0.22
117.5625,-13.58,1.53,0.06
117.59375,-12.85,1.23,-0.19
117.625,-13.67,1.51,0.11
117.65625,-14.23,1.21,0.15
117.6875,-14.67,1.57,0.06
117.71875,-13.25,0.83,0.36
117.75,-14.17,1.88,-0.42
117.78125,-13.04,0.7,-0.17
117.8125,-13.93,1.24,-0.41
117.84375,-14.22,0.82,-0.06
117.875,-13.29,0.85,0.51
117.90625,-13.82,1.28,0.18
117.9375,-13.6,1.16,-0.06
117.96875,-13.9,0.67,-0.49
118,-12.86,0.17,0.35
118.03125,-14.18,0.22,0.03
118.0625,-13.37,-0.05,-0.56
118.09375,-13.8,-0.25,-1.04
118.125,-14.23,0.56,-0.46
118.15625,-13.66,0.16,-0.02
118.1875,-14.05,0.44,-0.31
118.21875,-13.49,-0.08,-0.88
118.25,-13.15,-0.09,-0.39
118.28125,-14.26,0.19,-0.27
118.3125,-13.04,0.7,-0.97
118.34375,-14.11,0.08,-0.08
118.375,-13.63,0.21,-0.61
118.40625,-13.67,-0.52,-0.49
118.4375,-13.27,0.98,-0.78
118.46875,-13.63,0.35,-0.6
118.5,-13.81,0.94,-0.99
118.53125,-13.5,0.41,-0.71
118.5625,-13.27,0.15,-0.97
118.59375,-12.79,0.64,-1.88
118.625,-12.97,0.82,-0.77
118.65625,-14.75,1,-0.74
118.6875,-14.45,0.41,-1.1
118.71875,-14.2,0.99,-0.78
118.75,-14.47,-0.83,-0.57
118.78125,-14.48,0.6,-1.22
118.8125,-13.72,0.64,-1.32
118.84375,-14.22,1.08,-0.51
118.875,-14.75,0.39,-1.02
118.90625,-13.3,0.64,-1.32
118.9375,-14.19,0.54,-1.16
118.96875,-12.42,1.42,-1.42
119,-12.84,0.01,-0.55
119.03125,-14.65,1.08,-2.14
119.0625,-13.69,-0.13,-1.33
119.09375,-12.56,0.45,-1.41
119.125,-12.59,0.28,-0.46
119.15625,-13.45,0.57,-1.56
119.1875,-13.79,0.27,-1.46
119.21875,-12.15,0.64,-2.01
119.25,-14.43,-0.25,-1.03
119.28125,-14.05,1.73,-0.84
119.3125,-13.18,0.29,-1.48
119.34375,,,
119.375,-13.65,-0.24,-0.53
119.40625,-14.15,-1.41,-1.33
119.4375,-13.43,-0.34,-0.92
119.46875,-14.17,-0.43,-1.61
119.5,-12.96,0.78,-1.81
119.53125,-12.9,-0.97,-1.61
119.5625,-15.05,-0.48,-1.26
119.59375,-14.07,0.48,-1.01
119.625,-13.95,0,-1.05
119.65625,-13.25,0.87,-1.07
119.6875,-12.45,-0.24,-0.62
119.71875,-14.46,-0.23,-0.87
119.75,-13.55,0.35,-1.09
119.78125,-12.92,0.25,-0.66
119.8125,-13.87,-0.1,-1.03
119.84375,-12.49,1.55,-1.39
119.875,-13.72,0.9,-1.2
119.90625,-13.58,0.77,-1.07
119.9375,-14.11,-0.31,-0.73
119.96875,-13.68,-0.19,-0.62
120,-13.7,0.04,-1.08
120.03125,-13.82,0.44,-1.14
120.0625,-12.2,-0.3,-0.17
120.09375,-12.85,-0.33,-0.67
120.125,-13.25,0.04,-0.09
120.15625,-13.84,-0.31,-1.08
120.1875,-13.31,-0.04,-0.44
120.21875,-14.19,0.57,-0.86
120.25,-13.2,-0.21,-1.02
120.28125,-14.14,1.01,-0.61
120.3125,-13.75,0.31,-0.58
120.34375,-13.89,-0.05,-1.15
120.375,-13.21,-1.06,-0.31
120.40625,-14.3,0.21,-0.81
120.4375,-15.33,-1.44,-0.4
120.46875,-13.89,-0.51,-0.47
120.5,,,
120.53125,-13.28,-0.85,0.25
120.5625,-13.79,-0.59,-0.24
120.59375,-13.33,0.39,-0.63
120.625,-13.85,0.19,-0.24
120.65625,-14.81,-0.94,-0.56
120.6875,-13.41,-0.33,-0.06
120.71875,-14.92,0,-0.3
120.75,-13.4,0.63,-0.71
120.78125,,,
120.8125,,,
120.84375,-13.76,1.07,-1.04
120.875,-12.99,1.5,-0.58
120.90625,-13.55,1.25,0
120.9375,-12.97,2.05,-1.16
120.96875,-12.47,2.5,-0.79
121,-14.05,1.35,-0.62
121.03125,-13.41,2.11,-1.6
121.0625,-13.21,1.78,-1.09
121.09375,-12.55,2.93,-0.62
121.125,-11.6,2.43,-1.31
121.15625,-12.88,2.5,-0.81
121.1875,-12.28,2.38,-0.83
121.21875,-12.38,2.69,-1.07
121.25,-13.53,2.29,-1.79
121.28125,-12.66,2.23,-0.77
121.3125,-12.15,2.71,-1.2
121.34375,-13.51,3.42,-1.13
121.375,-12.75,3.5,-0.8
121.40625,-13.03,5.04,-0.32
121.4375,-13.06,3.64,-0.94
121.46875,-13.29,3.85,-0.89
121.5,-13.61,4.26,-1.47
121.53125,-13.63,4.07,-0.79
121.5625,-11.58,3.56,-0.93
121.59375,-12.74,4.65,-1.48
121.625,-12.76,4.56,-1.56
121.65625,-12.26,3.8,-1.11
121.6875,-12.81,5.02,-1.84
121.71875,-11.74,3.46,-1.53
121.75,-11.61,4.36,-1.66
121.78125,-12.81,3.13,-2.15
121.8125,-13.2,3.01,-1.82
121.84375,-12.16,3.6,-1.33
121.875,-12.58,3.43,-1.85
121.90625,-12.5,3.54,-1.61
121.9375,-11.58,3.02,-1.53
121.96875,-11.71,2.7,-1.61
122,-11.6,3.98,-0.97
122.03125,-11.53,3.85,-1.17
122.0625,-12.2,3.46,-1.48
122.09375,-12.46,3.59,-1.27
122.125,-10.84,3.68,-1.5
122.15625,-11.68,2.86,-1.07
122.1875,-11.57,2.69,-1.67
122.21875,-10.86,1.99,-1.97
122.25,-11.54,1.94,-2.12
122.28125,,,
122.3125,-12.25,1.77,-1.64
122.34375,-9.97,0.34,-0.92
122.375,,,
122.40625,-11.17,-0.04,-2.4
122.4375,-10.81,-0.37,-2.19
122.46875,-11.44,-0.45,-2.07
122.5,-10.81,0.75,-2.44
122.53125,-10.44,1.04,-1.77
122.5625,-11.11,-0.07,-1.61
122.59375,-10.64,-0.93,-2.22
122.625,-10.19,-0.68,-1.73
122.65625,-10.55,-0.46,-2.29
122.6875,-10.83,-0.39,-1.9
122.71875,-10.32,-1.34,-1.82
122.75,-10.03,-1.35,-2.1
122.78125,-10.29,-1.29,-1.96
122.8125,-9.92,-0.22,-2.82
122.84375,-9.44,-1.36,-2.05
122.875,-10,-2.25,-2.02
122.90625,-9.04,-1.75,-2.06
122.9375,-9.39,-1.75,-2.5
122.96875,,,
123,-9.39,-2.26,-2.01
123.03125,-9.24,-1.58,-1.8
123.0625,-8.92,-0.94,-1.71
123.09375,-8.28,-1.78,-1.83
123.125,-8.73,-1.35,-1.64
123.15625,-9.24,-1.79,-1.97
123.1875,-8.01,-2.5,-1.44
123.21875,-9.44,-1.76,-2.45
123.25,-9.33,-1.03,-1.86
123.28125,-8.98,-1.59,-1.58
123.3125,-9.96,-2.87,-1.56
123.34375,-9.62,-1.74,-1.48
123.375,-8.72,-2.1,-1.27
123.40625,-9.43,-1.57,-2.74
123.4375,-9.27,-2.08,-2.17
123.46875,-9.84,-2.2,-1.77
123.5,-9.16,-1.88,-1.15
123.53125,-7.86,-2.21,-1.44
123.5625,-9.22,-1.76,-2.02
123.59375,-8.6,-2.23,-2.56
123.625,-8.91,-2.78,-1.81
123.65625,-8.17,-2.01,-1.19
123.6875,-8.47,-2.03,-1.58
123.71875,-8.26,-1.25,-1.96
123.75,-8.99,-1.94,-1.37
123.78125,-9.12,-2.75,-1.71
123.8125,-9.41,-1.92,-2.02
123.84375,-9.01,-2.47,-1.67
123.875,-8.62,-2.16,-1.79
123.90625,-7.98,-1.15,-1.49
123.9375,-7.88,-2.06,-0.85
123.96875,-8.93,-1.96,-1.5
124,-7.6,-2.55,-0.97
124.03125,-7.97,-1.75,-0.93
124.0625,-8.63,-1.23,-0.87
124.09375,-7.75,-2.6,-1.56
124.125,-8.59,-1.36,-1.52
124.15625,-8.47,-2.28,-1.27
124.1875,-7.96,-1.65,-1.27
124.21875,-7.58,-1.33,-1.47
124.25,-7.5,-2.52,-0.93
124.28125,-7.51,-1.44,-2.11
124.3125,-6.97,-1.5,-0.68
124.34375,-8.47,-1.28,-1.33
124.375,-7.78,-2.01,-1.18
124.40625,,,
124.4375,-6.44,-1.98,-0.87
124.46875,-6.71,-1.06,-1
124.5,-7.49,-1.64,-1.53
124.53125,-7.52,-1.19,-1.16
124.5625,-6.51,-1.46,-0.97
124.59375,-7.55,-1.71,-1.69
124.625,-7.87,-0.59,-1.33
124.65625,-7.55,-0.53,-1.2
124.6875,-8.26,-1.56,-0.77
124.71875,-8.78,-0.57,-1.95
124.75,-7.09,-1.27,-0.42
124.78125,-8.04,-0.29,-1.37
124.8125,-8.09,-1.43,-0.6
124.84375,-7.93,-0.4,-0.72
124.875,-7.27,-0.44,-1.02
124.90625,-8.5,-0.02,-1.37
124.9375,-8.22,0.02,-0.8
124.96875,-8.77,-0.01,-1.17
125,-8.01,-0.12,-0.57
125.03125,-8.47,-0.87,-0.93
125.0625,-7.86,0.6,-0.41
125.09375,-8.51,-0.18,-1
125.125,-8.01,-0.85,-1.31
125.15625,-8.2,-0.38,-1.12
125.1875,-8.26,-0.21,-0.68
125.21875,-6.64,-0.14,-0.73
125.25,-5.91,-1.74,-0.44
125.28125,-7.88,-0.55,-0.78
125.3125,-8.05,-1.41,-0.52
125.34375,-7.45,-0.44,-0.81
125.375,-6.26,-1.12,-0.64
125.40625,-6.53,-0.94,-0.55
125.4375,-6.56,-1.07,-1.1
125.46875,-7.23,-0.94,-0.3
125.5,-6.78,-0.59,-0.85
125.53125,-7.68,-0.81,-0.8
125.5625,-6.4,-0.3,-0.55
125.59375,-7.03,-1.18,-1.18
125.625,-7.17,-1.24,-0.88
125.65625,-6.88,-0.39,-0.89
125.6875,-6.24,-1.22,-0.34
125.71875,-7.22,-0.82,-1
125.75,-7.65,0.03,-1.16
125.78125,-6.94,-0.99,-0.64
125.8125,-6.78,-0.96,-1.28
125.84375,-6.39,-0.66,-1
125.875,-6.37,-1.47,-0.56
125.90625,-6.9,-0.53,-0.58
125.9375,-6.81,-0.83,-1.42
125.96875,-6.03,-0.92,-0.84
126,-6.61,-0.95,-1.53
126.03125,-5.59,-0.91,-0.32
126.0625,-6.42,-1.58,-0.97
126.09375,-6.27,-1.14,-0.58
126.125,-6.69,-0.87,-1.32
126.15625,-6.94,-1.67,-1.22
126.1875,-6.51,-1.24,-1.23
126.21875,-6.68,-2.13,-1.19
126.25,-5.73,-1.21,-0.78
126.28125,-6.32,-1.47,-1.1
126.3125,-5.64,-2.2,-1.78
126.34375,-6.37,-0.36,-1.02
126.375,-6.45,-0.59,-0.9
126.40625,-6.16,-0.81,-1.13
126.4375,-6.46,-0.95,-0.57
126.46875,-5.75,-0.67,-0.29
126.5,-6.22,-1.44,-0.56
126.53125,-6.09,-0.21,-0.54
126.5625,-6.01,-0.18,-0.64
126.59375,-6.48,-0.62,-0.94
126.625,-5.7,-0.68,-0.67
126.65625,-5.51,-1.24,-1.19
126.6875,-5.49,-1.24,-0.82
126.71875,-5.66,-1.11,-1.06
126.75,-5.57,-0.9,-0.87
126.78125,-5.31,0.01,-1.35
126.8125,-6.08,-0.63,-0.57
126.84375,-5.21,0.27,-1.21
126.875,-6.09,-0.33,-0.66
126.90625,-6.4,-0.57,-0.82
126.9375,-6.01,-0.97,-1.15
126.96875,-5.7,-0.93,-0.77
127,-5.46,-0.85,-0.57
127.03125,-6.09,-0.53,-0.99
127.0625,-6.26,-0.69,-0.78
127.09375,-5.73,-0.17,-0.51
127.125,-5.65,-0.96,-1.14
127.15625,-5.45,0.38,-0.88
127.1875,-5.68,-0.18,-1.19
127.21875,-5.74,-0.13,-0.52
127.25,-5.68,-0.37,-0.85
127.28125,-5.05,-0.18,-0.4
127.3125,-5.75,-0.74,-0.62
127.34375,-5.17,0.29,-0.38
127.375,-4.67,-0.99,-0.83
127.40625,-5.96,-0.42,-0.6
127.4375,-5.08,0.11,-0.7
127.46875,-5.66,-0.48,-0.63
127.5,-5.31,-0.62,-0.09
127.53125,-5.12,-0.37,-0.3
127.5625,-4.86,-0.72,-0.63
127.59375,-4.91,-0.08,-0.58
127.625,-5.34,-0.09,-0.49
127.65625,-5.21,-0.54,-0.85
127.6875,-4.25,-0.48,-0.49
127.71875,-4.22,-0.34,-0.34
127.75,-5,-0.31,-0.62
127.78125,-5.06,-0.71,-0.47
127.8125,-4.53,-0.59,-0.44
127.84375,-5,-0.63,-0.8
127.875,-4.9,-0.23,-0.55
127.90625,-4.67,-0.58,-0.73
127.9375,-4.55,-0.56,-0.37
127.96875,-4.45,-0.45,-0.63
128,-4.61,-0.71,-0.38
128.03125,-4.42,-0.43,-0.43
128.0625,-4.56,-1.43,-0.43
128.09375,-4.35,-0.8,-0.46
128.125,-4.02,-0.67,-0.5
128.15625,-3.95,0.15,-0.2
128.1875,-4.77,-0.27,-0.81
128.21875,-4.08,-0.4,-0.35
128.25,-3.98,-0.62,-0.41
128.28125,-4.06,-0.35,-0.28
128.3125,-5.05,0.01,-0.77
128.34375,-3.57,-0.99,-0.65
128.375,-4.55,-0.42,-0.39
128.40625,-4.2,-0.59,-0.72
128.4375,-3.87,-0.2,-0.43
128.46875,-4.58,-0.24,-0.64
128.5,-4.5,-0.82,-0.26
128.53125,-3.88,-0.78,-0.36
128.5625,-3.85,-0.65,-0.75
128.59375,-4.47,-0.38,-0.44
128.625,-3.86,-0.01,-0.22
128.65625,-3.97,-0.18,-0.76
128.6875,-3.83,-0.48,-0.57
128.71875,-4.17,-0.58,-0.41
128.75,-4.35,-0.17,-0.13
128.78125,-3.82,-0.78,-0.57
128.8125,-3.95,-0.59,-0.41
128.84375,-3.95,-0.72,-0.43
128.875,-3.41,-0.26,-0.28
128.90625,-3.74,0.12,-0.25
128.9375,-3.14,-1.06,-0.53
128.96875,-3.81,-0.15,-0.42
129,-3.85,-0.33,-0.43
129.03125,-3.97,-0.15,-0.49
129.0625,-3.3,-0.12,-0.24
129.09375,-4.26,-0.57,-0.63
129.125,-4.18,-0.36,-0.87
129.15625,-3.82,0.05,-0.54
129.1875,-3.38,-0.39,-0.78
129.21875,-3.91,-0.88,-0.16
129.25,-3.56,-0.36,-0.78
129.28125,-3.7,-0.5,-0.59
129.3125,-3.51,-0.53,-0.59
129.34375,-3.81,-0.26,-0.52
129.375,-3.63,-0.77,-0.52
129.40625,-3.13,-0.82,-0.38
129.4375,-3.69,-0.04,-0.62
129.46875,-3.63,-0.46,-0.44
129.5,-3.91,-0.09,-0.46
129.53125,-3.7,-0.39,-0.3
129.5625,-3.34,-0.71,-0.19
129.59375,-3.39,-0.37,-0.46
129.625,-3.03,-0.34,-0.58
129.65625,-3.2,-0.59,-0.38
129.6875,-3.5,-0.52,-0.36
129.71875,-3.43,-0.16,-0.65
129.75,-2.92,0.09,-0.44
129.78125,-2.82,-1.07,-0.37
129.8125,-3.39,-0.06,-0.44
129.84375,-3.04,-0.79,-0.42
129.875,-3.45,-0.35,-0.65
129.90625,-3.22,-0.43,-0.31
129.9375,-3.07,-0.24,-0.59
129.96875,-3.51,0.13,-0.23
130,-2.95,-0.64,-0.32
130.03125,-3.13,-0.59,-0.45
130.0625,-3.24,-0.37,-0.5
130.09375,-3.09,-0.64,-0.47
130.125,-3,-0.65,-0.41
130.15625,-3.17,-0.48,-0.42
130.1875,-3.22,-0.44,-0.51
130.21875,-2.92,-0.27,-0.15
130.25,-3.16,-0.43,-0.49
130.28125,-3.12,-0.67,-0.25
130.3125,-2.95,-0.4,-0.49
130.34375,-3.07,-0.06,-0.22
130.375,-3.56,-0.28,-0.9
130.40625,-3.21,-0.38,-0.41
130.4375,-3.06,-0.71,-0.45
130.46875,-2.72,-0.22,-0.12
130.5,-3.43,-0.54,-0.53
130.53125,-3.49,-0.54,-0.59
130.5625,-2.88,-0.48,-0.44
130.59375,-3.06,-0.5,-0.15
130.625,-3.42,-0.33,-0.57
130.65625,-3.55,-0.37,-0.55
130.6875,-3.27,-0.11,-0.33
130.71875,-3.12,0.18,-0.61
130.75,-3.44,-0.14,0.01
130.78125,-2.87,-0.84,-0.23
130.8125,-3.3,-0.34,-0.46
130.84375,-3.15,-0.38,-0.33
130.875,-3.55,-0.61,-0.58
130.90625,-2.86,-0.12,-0.31
130.9375,-3.48,-0.33,-0.35
130.96875,-3.31,-0.53,-0.35
131,-3.41,-0.36,-0.31
131.03125,-2.81,-0.09,-0.32
131.0625,-3.3,0.27,-0.16
131.09375,-3.26,-0.41,-0.24
131.125,-3.05,-0.32,0.11
131.15625,-2.65,-0.02,-0.21
131.1875,-3.05,0.03,-0.26
131.21875,-3.1,-0.34,-0.16
131.25,-3.18,-0.21,-0.3
131.28125,-3.12,-0.54,-0.45
131.3125,-2.99,-0.02,-0.26
131.34375,-2.92,0.08,-0.09
131.375,-2.86,-0.16,0.01
131.40625,-2.43,-0.02,-0.04
131.4375,-2.5,-0.06,-0.28
131.46875,-3.13,-0.4,-0.42
131.5,-2.65,-0.1,-0.14
131.53125,-2.96,0.19,-0.33
131.5625,-3.13,-0.38,-0.26
131.59375,-2.69,-0.61,-0.24
131.625,-2.6,0.26,-0.05
131.65625,-2.72,-0.14,-0.25
131.6875,-2.77,-0.54,-0.15
131.71875,-2.65,-0.28,-0.23
131.75,-3.22,-0.13,-0.2
131.78125,-2.8,-0.34,-0.22
131.8125,-2.52,-0.3,-0.06
131.84375,-2.73,-0.25,-0.14
131.875,-2.81,-0.61,0.02
131.90625,-2.56,-0.87,-0.25
131.9375,-2.76,-0.19,-0.05
131.96875,-2.8,0.13,-0.14
132,-2.54,-1.05,-0.33
132.03125,-2.9,-0.8,-0.24
132.0625,-2.57,-0.57,-0.32
132.09375,-2.58,-0.88,-0.24
132.125,-2.47,-0.78,-0.26
132.15625,-2.61,-0.38,-0.38
132.1875,-2.79,-1.09,-0.57
132.21875,-2.58,-1.22,-0.19
132.25,-1.94,-0.56,-0.38
132.28125,-2.36,-0.71,-0.34
132.3125,-2.32,-0.81,-0.18
132.34375,-2.61,-1.28,-0.47
132.375,-2.2,-0.49,-0.72
132.40625,-2.71,-0.9,-0.32
132.4375,-2.5,-0.91,-0.18
132.46875,-2.4,-0.78,-0.26
132.5,-2.61,-1,-0.14
132.53125,-2.54,-1.04,-0.49
132.5625,-2.5,-1,-0.26
132.59375,-2.49,-1.02,-0.08
132.625,-2.37,-0.52,-0.45
132.65625,-2.56,-1.04,-0.43
132.6875,-2.83,-1.39,-0.16
132.71875,-2.67,-0.78,-0.05
132.75,-2.6,-0.79,-0.67
132.78125,-2.42,-1.23,-0.32
