time (s),U,V,W
5.5,-9.02,3.2,-0.39
5.53125,-9.2,3.2,-0.09
5.5625,-8.65,2.46,0.02
5.59375,-8.67,3.32,0.01
5.625,-8.48,2.73,0.02
5.65625,-8.38,3.1,0.1
5.6875,-9.05,3.06,-0.33
5.71875,-8.76,3.05,-0.3
5.75,-8.98,3.48,0.13
5.78125,-8.4,2.7,-0.13
5.8125,-8.19,2.8,-0.04
5.84375,-8.17,3.3,-0.09
5.875,-8.32,3.58,-0.22
5.90625,-8.51,2.84,-0.11
5.9375,-8.6,3.03,0.2
5.96875,-8.85,3,0.03
6,-8.26,2.69,-0.35
6.03125,-8.17,2.71,0.24
6.0625,-8.51,2.9,-0.32
6.09375,-7.82,3.05,0.1
6.125,-8.32,2.73,0.18
6.15625,-8.27,2.54,0.17
6.1875,-8.11,3.16,0
6.21875,-8.53,2.59,0.29
6.25,-8.49,3.21,-0.39
6.28125,-8.81,3.19,0.2
6.3125,-8.25,2.87,-0.17
6.34375,-8.21,2.88,-0.34
6.375,-8.69,2.46,-0.2
6.40625,-8.33,2.08,0.05
6.4375,-7.72,3.23,-0.29
6.46875,-8.54,2.92,-0.12
6.5,-8.2,2.75,-0.11
6.53125,-8.58,3.17,-0.39
6.5625,-8.03,3.19,-0.04
6.59375,-8.12,2.87,-0.2
6.625,-8.21,3.07,-0.37
6.65625,-7.75,3.18,-0.06
6.6875,-8.07,2.36,-0.26
6.71875,-8.12,3.45,-0.26
6.75,-8.43,3.12,-0.61
6.78125,-8.65,2.47,0.01
6.8125,-8.1,2.69,-0.1
6.84375,-8.43,3.56,-0.07
6.875,-8.75,2.45,-0.24
6.90625,-8.46,2.98,-0.17
6.9375,-7.76,2.69,-0.14
6.96875,-8.89,2.64,-0.1
7,-8.79,2.81,-0.06
7.03125,-7.69,3.08,-0.3
7.0625,-9.05,3.12,-0.05
7.09375,-9.19,2.01,-0.32
7.125,-8,3,-0.16
7.15625,-8.1,3.36,-0.27
7.1875,-8.32,2.84,-0.03
7.21875,-7.7,2.82,0.47
7.25,-8.53,2.81,-0.14
7.28125,-8.37,3.08,-0.42
7.3125,-8.24,2.46,-0.06
7.34375,-8.61,2.38,-0.19
7.375,-8.31,2.65,0
7.40625,-8.11,2.16,-0.23
7.4375,-7.92,2.88,0.1
7.46875,-8.04,2.58,-0.08
7.5,-8.49,2.11,-0.22
7.53125,-8,2.75,-0.39
7.5625,-8.58,2.66,-0.12
7.59375,-8.33,3.05,-0.43
7.625,-8.64,2.19,-0.36
7.65625,-7.85,2.64,-0.33
7.6875,-8.27,3.26,-0.36
7.71875,-8.1,2.87,-0.23
7.75,-8.09,3.02,-0.13
7.78125,-7.92,2.9,-0.24
7.8125,-8.61,2.44,0.06
7.84375,-8.29,2.52,-0.41
7.875,-7.84,2.72,-0.49
7.90625,-8.38,2.31,0.06
7.9375,-7.64,2.31,-0.03
7.96875,-8.61,2.49,-0.61
8,-7.87,2.83,-0.15
8.03125,-8.87,1.46,0.16
8.0625,-7.65,3.12,-0.3
8.09375,-8.24,1.88,0.23
8.125,-8.62,2.07,-0.16
8.15625,-8.27,2.21,-0.03
8.1875,-7.26,2.78,-0.35
8.21875,-8.51,2.49,-0.08
8.25,-7.84,2.94,0.51
8.28125,-7.99,2.45,0.14
8.3125,-8.14,2.68,-0.01
8.34375,-8.02,2.86,-0.36
8.375,-7.68,1.89,0.12
8.40625,-7.66,2.35,-0.25
8.4375,-7.79,2.9,0.44
8.46875,-8.33,2.17,0.46
8.5,-8.87,1.82,-0.03
8.53125,-8.18,3.04,-0.47
8.5625,-8.14,2.54,-0.3
8.59375,-8.42,2.68,-0.33
8.625,-8.55,2.25,-0.1
8.65625,-8.32,2.46,-0.18
8.6875,-8.27,2.53,-0.28
8.71875,-8.29,1.76,-0.07
8.75,-7.71,2.12,0
8.78125,-8.91,2.39,-0.03
8.8125,-8.47,3.49,-0.34
8.84375,-8.03,2.52,0.38
8.875,-7.99,2.81,0.24
8.90625,-8.47,2.71,-0.19
8.9375,-7.93,3.21,0.14
8.96875,-8.37,2.59,-0.03
9,-7.49,2.61,-0.05
9.03125,-8.37,2.82,0.04
9.0625,-7.76,2.96,0.14
9.09375,-7.8,2.75,-0.2
9.125,-8.8,3.07,-0.1
9.15625,-7.67,2.31,-0.12
9.1875,-8.34,2.95,-0.13
9.21875,-7.76,2.72,-0.02
9.25,-8.55,2.56,0.15
9.28125,-7.44,3.08,0.01
9.3125,-8.38,2.47,0.16
9.34375,-8,2.37,0.11
9.375,-7.56,3.52,0.44
9.40625,-8,2.9,0.21
9.4375,-8.48,2.64,0.1
9.46875,-8.35,2.55,0.03
9.5,-8.43,2.28,0.34
9.53125,-8.06,3.1,0
9.5625,-7.18,2.25,0.18
9.59375,-8.15,2.85,0.01
9.625,-7.89,2.55,-0.11
9.65625,-8.41,3.26,-0.4
9.6875,-7.77,2.34,0.28
9.71875,-8.75,2.15,0.04
9.75,-8.6,2.61,0.15
9.78125,-7.87,2.48,0.19
9.8125,-8.42,2.63,-0.13
9.84375,-8.27,3.02,-0.31
9.875,-8.5,3.11,-0.36
9.90625,-8.08,1.73,-0.04
9.9375,-8.23,2.23,-0.07
9.96875,-8.62,2.54,-0.05
10,-7.92,3.15,0.33
10.03125,-8.01,2.54,-0.01
10.0625,-8.03,2.06,-0.34
10.09375,-8.19,2.39,0.27
10.125,-8.26,2.68,-0.01
10.15625,-8.34,2.06,0.14
10.1875,-8.15,2.14,-0.07
10.21875,-8.57,2.59,-0.17
10.25,-8.17,2.25,-0.33
10.28125,-8.62,2.05,0.19
10.3125,-8.47,1.97,0.03
10.34375,-8.93,2.16,0.1
10.375,-8.7,2.23,-0.13
10.40625,-8.38,2.13,-0.43
10.4375,-8.44,2.38,-0.03
10.46875,-8.17,2.3,-0.15
10.5,-8.55,2.18,-0.13
10.53125,-8.36,3.11,-0.55
10.5625,-8.69,1.88,0.3
10.59375,-8.76,2.69,-0.47
10.625,-8.75,2.33,-0.26
10.65625,-8.76,2.43,-0.16
10.6875,-8.49,2.6,-0.22
10.71875,-8.87,2.33,-0.11
10.75,-7.66,2.32,-0.06
10.78125,-8.64,2.35,0.04
10.8125,-8.3,3.08,-0.55
10.84375,-8.7,2.62,-0.41
10.875,-8.24,2.83,-0.1
10.90625,-8.55,1.85,0.09
10.9375,-8.63,2.49,-0.07
10.96875,-8.66,2.49,0.2
11,-8.94,2.3,-0.34
11.03125,-8.54,2.12,-0.04
11.0625,-7.98,2.62,-0.1
11.09375,-8.56,2.37,0.18
11.125,-8.56,2.33,-0.36
11.15625,-8.72,1.98,0.03
11.1875,-8.58,2.72,-0.49
11.21875,-8.12,2.57,-0.1
11.25,-8.38,2.13,-0.36
11.28125,-9.11,1.26,0.09
11.3125,-8.08,2.13,-0.18
